Classifier;best_HP;Features;Accuracy;Precision;Mean_CV_Train_Accuracy;Mean_CV_Test_Accuracy;AUC
KNeighborsClassifier;{'kneighborsclassifier__n_neighbors': 7};['Breed1', 'Sterilized', 'Age_2'];0.7046666666666667;0.7283582089552239;0.6552273658628561;0.6455002461353274;0.5535704776612173
KNeighborsClassifier;{'kneighborsclassifier__n_neighbors': 5};['Breed1', 'Sterilized'];0.7026666666666667;0.7291196388261851;0.6334693617635172;0.6229944227941179;0.5547473241386656
KNeighborsClassifier;{'kneighborsclassifier__n_neighbors': 7};['Breed1', 'Sterilized', 'State', 'Age_0'];0.7026666666666667;0.7631806395851339;0.6744044131128151;0.647696833418888;0.610618243782949
KNeighborsClassifier;{'kneighborsclassifier__n_neighbors': 7};['Sterilized', 'State', 'Age_0'];0.6973333333333334;0.7394422310756972;0.5943711013005956;0.5940067031937535;0.5723946962032057
KNeighborsClassifier;{'kneighborsclassifier__n_neighbors': 5};['Breed1', 'Age_2'];0.6886666666666666;0.7307692307692307;0.6621267552130486;0.6516490975388939;0.5558389690611854
KNeighborsClassifier;{'kneighborsclassifier__n_neighbors': 7};['Breed1', 'Color1', 'Color2', 'Sterilized'];0.688;0.7399836467702371;0.6759241527631202;0.6389252606438994;0.5716065818201181
KNeighborsClassifier;{'kneighborsclassifier__n_neighbors': 7};['Breed1', 'Sterilized', 'PhotoAmt', 'Age_0', 'Age_2'];0.6853333333333333;0.754585152838428;0.7146732717005019;0.6668875888012042;0.5937483359071303
KNeighborsClassifier;{'kneighborsclassifier__n_neighbors': 7};['Sterilized', 'Age_0'];0.6806666666666666;0.7432432432432432;0.6116406769822117;0.617124829932253;0.5754885776665424
KNeighborsClassifier;{'kneighborsclassifier__n_neighbors': 5};['Sterilized', 'Age_0', 'Age_2'];0.6806666666666666;0.7432432432432432;0.6926366316821979;0.6909277365538106;0.5754885776665424
KNeighborsClassifier;{'kneighborsclassifier__n_neighbors': 7};['Breed1', 'Color1', 'Color2', 'Sterilized', 'Age_2'];0.68;0.7537511032656664;0.6954777494195693;0.6434449223110482;0.5912561904254753
KNeighborsClassifier;{'kneighborsclassifier__n_neighbors': 7};['Breed1', 'Sterilized', 'State', 'Age_2'];0.6793333333333333;0.763302752293578;0.6918153261284088;0.6654809965857821;0.6044251557590926
KNeighborsClassifier;{'kneighborsclassifier__n_neighbors': 7};['Sterilized', 'State', 'Age_0', 'Age_2'];0.6786666666666666;0.7358024691358025;0.6148828924422899;0.6151986481920062;0.5630225251610842
KNeighborsClassifier;{'kneighborsclassifier__n_neighbors': 7};['Breed1', 'Color1', 'Sterilized', 'Age_0', 'Age_2'];0.6773333333333333;0.7690857681432611;0.6931060425640889;0.6578478168661612;0.6114489589435007
KNeighborsClassifier;{'kneighborsclassifier__n_neighbors': 7};['Breed1', 'Sterilized', 'PhotoAmt', 'Age_0'];0.6766666666666666;0.7328431372549019;0.6993746701781297;0.667088067558906;0.5577027530752436
KNeighborsClassifier;{'kneighborsclassifier__n_neighbors': 7};['Breed1', 'Color1', 'Sterilized', 'Age_2'];0.6753333333333333;0.7639405204460966;0.6637820821722072;0.6313901505403395;0.6041802012886736
KNeighborsClassifier;{'kneighborsclassifier__n_neighbors': 7};['Breed1', 'Sterilized', 'PhotoAmt'];0.6733333333333333;0.728744939271255;0.6728859493387315;0.6443575043992628;0.5501357899781671
KNeighborsClassifier;{'kneighborsclassifier__n_neighbors': 7};['Breed1', 'Sterilized', 'PhotoAmt', 'Age_2'];0.6726666666666666;0.7338308457711443;0.69068505026938;0.6493745452767697;0.5587571223174823
KNeighborsClassifier;{'kneighborsclassifier__n_neighbors': 7};['Breed1', 'PhotoAmt', 'Age_0', 'Age_2'];0.672;0.7511150758251561;0.6969968854602718;0.6587132775658521;0.5855689866340061
KNeighborsClassifier;{'kneighborsclassifier__n_neighbors': 7};['Color2', 'Sterilized', 'State'];0.67;0.7272727272727273;0.6113616159618867;0.6031217668131211;0.5471164598753927
KNeighborsClassifier;{'kneighborsclassifier__n_neighbors': 7};['Breed1', 'Color1', 'Sterilized', 'State', 'Age_0'];0.6693333333333333;0.7629350893697083;0.686361549736473;0.645570127145353;0.6012141221577294
KNeighborsClassifier;{'kneighborsclassifier__n_neighbors': 7};['Breed1', 'Color2', 'Sterilized', 'State', 'Age_2'];0.6673333333333333;0.7527272727272727;0.7008880441787303;0.6507077042966706;0.5867990840832845
KNeighborsClassifier;{'kneighborsclassifier__n_neighbors': 7};['Breed1', 'Sterilized', 'State', 'PhotoAmt', 'Age_0'];0.6666666666666666;0.7712609970674487;0.7202250914561521;0.6624927388476253;0.6110123009744928
KNeighborsClassifier;{'kneighborsclassifier__n_neighbors': 7};['Breed1', 'PhotoAmt'];0.6653333333333333;0.7102661596958175;0.6661418089504662;0.6396633736625403;0.5145641407955696
KNeighborsClassifier;{'kneighborsclassifier__n_neighbors': 7};['Breed1', 'State', 'PhotoAmt', 'Age_0'];0.6646666666666666;0.755083179297597;0.7057671293033896;0.6553280356331812;0.5894509824804303
KNeighborsClassifier;{'kneighborsclassifier__n_neighbors': 3};['Sterilized', 'State'];0.664;0.7293921731890092;0.5875305470084721;0.5860411652523384;0.5499973374514086
KNeighborsClassifier;{'kneighborsclassifier__n_neighbors': 3};['Color2', 'Sterilized', 'Age_2'];0.6633333333333333;0.7221324717285945;0.6068344626983425;0.6054209097201985;0.5371798285318707
KNeighborsClassifier;{'kneighborsclassifier__n_neighbors': 7};['Color1', 'Sterilized', 'Age_2'];0.6626666666666666;0.7136186770428016;0.6323272522955687;0.623659477977045;0.5211140103306886
KNeighborsClassifier;{'kneighborsclassifier__n_neighbors': 7};['Breed1', 'Sterilized', 'State', 'Age_0', 'Age_2'];0.6626666666666666;0.771513353115727;0.6791545151614574;0.6481389065658945;0.6101176846477449
KNeighborsClassifier;{'kneighborsclassifier__n_neighbors': 7};['Breed1', 'Color1', 'Color2', 'Age_0'];0.662;0.7599620493358634;0.6783515313046387;0.639764208124013;0.5953511901592204
KNeighborsClassifier;{'kneighborsclassifier__n_neighbors': 7};['Color2', 'Sterilized', 'State', 'Age_2'];0.662;0.7370242214532872;0.6171904273009591;0.6054733868523178;0.5622184354864477
KNeighborsClassifier;{'kneighborsclassifier__n_neighbors': 7};['Breed1', 'Color2', 'State', 'Age_0', 'Age_2'];0.6613333333333333;0.7726819541375872;0.6941995291330171;0.642480485638688;0.6111188029181533
KNeighborsClassifier;{'kneighborsclassifier__n_neighbors': 5};['Breed1', 'Color1', 'State', 'Age_0'];0.6606666666666666;0.7585227272727273;0.677616724437255;0.6434934444325123;0.5931039991479845
