Classifier;best_HP;Features;Accuracy;Precision;Mean_CV_Train_Accuracy;Mean_CV_Test_Accuracy;AUC
GaussianNB;{};['Breed1', 'Sterilized'];0.6986666666666667;0.7453213995117982;0.6977877336172987;0.6971765893031792;0.5824378294903882
GaussianNB;{};['Color2', 'Sterilized', 'State'];0.6806666666666666;0.7432432432432432;0.6739052428471618;0.6727177322628072;0.5754885776665424
GaussianNB;{};['Color1', 'Sterilized'];0.6806666666666666;0.7432432432432432;0.6859853436150647;0.6859856120008205;0.5754885776665424
GaussianNB;{};['Sterilized', 'State'];0.6806666666666666;0.7432432432432432;0.6858741776069476;0.6859856120008205;0.5754885776665424
GaussianNB;{};['Color2', 'Sterilized'];0.6806666666666666;0.7432432432432432;0.6859853436150647;0.6859856120008205;0.5754885776665424
GaussianNB;{};['Color1', 'Color2', 'Sterilized'];0.6806666666666666;0.7432432432432432;0.6859853436150647;0.6859856120008205;0.5754885776665424
GaussianNB;{};['Color1', 'Sterilized', 'State'];0.6806666666666666;0.7432432432432432;0.6611208326585636;0.6567842577392555;0.5754885776665424
GaussianNB;{};['Color1', 'Sterilized', 'PhotoAmt'];0.6793333333333333;0.7395659432387313;0.653284186924563;0.6510747329475184;0.5693434155173331
GaussianNB;{};['Sterilized', 'PhotoAmt'];0.6786666666666666;0.7393483709273183;0.6862076790641499;0.6862819906117934;0.568869481868044
GaussianNB;{};['Color1', 'Color2', 'Sterilized', 'State'];0.672;0.7475813544415127;0.661102351906172;0.6581178928252536;0.580371691783375
GaussianNB;{};['Breed1', 'Color1', 'Sterilized', 'State', 'Age_2'];0.662;0.7767676767676768;0.6508933196122286;0.6488547360291308;0.6161403695617446
GaussianNB;{};['Breed1', 'Color1', 'Sterilized', 'Age_2'];0.6613333333333333;0.7787971457696228;0.6593048185296362;0.6590090610942031;0.6182650833377709
GaussianNB;{};['Breed1', 'Color2', 'Sterilized'];0.6606666666666666;0.7614942528735632;0.6487262329791748;0.6464053759580944;0.5970019702859578
GaussianNB;{};['Breed1', 'Color1', 'Color2', 'Sterilized', 'Age_2'];0.6606666666666666;0.7785714285714286;0.6602497484793115;0.6598984990459911;0.6177911496884818
GaussianNB;{};['Breed1', 'Sterilized', 'PhotoAmt', 'Age_2'];0.6593333333333333;0.7730923694779116;0.6616578867215871;0.6611580875436115;0.6109963256829437
GaussianNB;{};['Breed1', 'Sterilized', 'Age_2'];0.6586666666666666;0.7778915046059366;0.6572667229825844;0.6573044515018192;0.6163693487406144
GaussianNB;{};['Breed1', 'Color2', 'Sterilized', 'State', 'Age_2'];0.6586666666666666;0.7773237997957099;0.6518567080007652;0.6515969042154096;0.6157196868842856
GaussianNB;{};['Breed1', 'Sterilized', 'State', 'Age_2'];0.658;0.7776639344262295;0.6573964504150875;0.6574526545399814;0.6158954150913254
GaussianNB;{};['Breed1', 'Color2', 'Sterilized', 'Age_2'];0.6573333333333333;0.7774358974358975;0.6573779095878065;0.6572302950520345;0.6154214814420362
GaussianNB;{};['Breed1', 'Color2', 'Sterilized', 'State'];0.656;0.7613967022308439;0.6386274724357097;0.6378122089531004;0.5956334203099207
GaussianNB;{};['Breed1', 'Age_2'];0.6526666666666666;0.7375444839857651;0.6677536702968206;0.6677541389598487;0.5614303211033602
GaussianNB;{};['Color2', 'Sterilized', 'PhotoAmt'];0.6473333333333333;0.751434034416826;0.6488185165913543;0.6458138546769787;0.5803770168805581
GaussianNB;{};['PhotoAmt', 'Age_2'];0.642;0.7333333333333333;0.6491150702751765;0.6485561601900163;0.5531977208584056
GaussianNB;{};['Breed1', 'Color1', 'Sterilized', 'State'];0.6393333333333333;0.7529527559055118;0.6360335863258567;0.6352187931120193;0.5805367697960487
GaussianNB;{};['Color1', 'Color2', 'Age_2'];0.6386666666666667;0.7359705611775529;0.653894643920254;0.6538951224556442;0.55667500931892
GaussianNB;{};['Color1', 'State', 'Age_2'];0.6386666666666667;0.7359705611775529;0.616969022726588;0.6133521709026021;0.55667500931892
GaussianNB;{};['State', 'Age_2'];0.6386666666666667;0.7359705611775529;0.6372943660138157;0.6348439734563854;0.55667500931892
GaussianNB;{};['Color1', 'Age_2'];0.6386666666666667;0.7359705611775529;0.653894643920254;0.6538951224556442;0.55667500931892
GaussianNB;{};['Color2', 'Age_2'];0.6386666666666667;0.7359705611775529;0.653894643920254;0.6538951224556442;0.55667500931892
GaussianNB;{};['Color1', 'Sterilized', 'State', 'PhotoAmt', 'Age_2'];0.6346666666666667;0.7688229056203606;0.6354407673176811;0.6341805204189785;0.598658075509878
GaussianNB;{};['Breed1', 'Color2', 'Sterilized', 'PhotoAmt', 'Age_2'];0.634;0.7842696629213484;0.6290489484190992;0.6269890751070255;0.6150753501251397
GaussianNB;{};['Color2', 'Sterilized', 'State', 'PhotoAmt', 'Age_2'];0.6333333333333333;0.7689030883919062;0.6369600269410132;0.6372932785967182;0.5983598700676287
GaussianNB;{};['Color1', 'Sterilized', 'PhotoAmt', 'Age_2'];0.6326666666666667;0.7680851063829788;0.6441117691600062;0.6432971770287488;0.5972362745620108
GaussianNB;{};['Color1', 'Sterilized', 'State', 'PhotoAmt'];0.632;0.744888023369036;0.6372750596608017;0.6375154183618511;0.568177219234251
GaussianNB;{};['Color1', 'Sterilized', 'State', 'Age_2'];0.632;0.7730727470141151;0.6407025603832023;0.6396661751284209;0.6026092976196815
GaussianNB;{};['Color1', 'Color2', 'Sterilized', 'State', 'Age_2'];0.632;0.7718918918918919;0.6402208627560831;0.6391474370295013;0.6013099739070238
GaussianNB;{};['Sterilized', 'State', 'PhotoAmt', 'Age_2'];0.632;0.768409818569904;0.641480784231337;0.6415182461944695;0.5974120027690505
GaussianNB;{};['Color2', 'Sterilized', 'PhotoAmt', 'Age_2'];0.632;0.768409818569904;0.6417216536420016;0.6416664492326317;0.5974120027690505
GaussianNB;{};['Breed1', 'Sterilized', 'State', 'PhotoAmt', 'Age_2'];0.6313333333333333;0.7758241758241758;0.627232730035548;0.626769572015663;0.6053836732520369
GaussianNB;{};['Color1', 'Color2', 'Sterilized', 'PhotoAmt', 'Age_2'];0.6313333333333333;0.767590618336887;0.6445193635528909;0.6432230755096676;0.5962884072634326
GaussianNB;{};['Color2', 'Sterilized', 'State', 'PhotoAmt'];0.6306666666666667;0.7482656095143707;0.63393979792352;0.6329949235790319;0.5724266467863038
GaussianNB;{};['Color1', 'Color2', 'Sterilized', 'Age_2'];0.63;0.775330396475771;0.6390350342165114;0.6384803860310122;0.6044358059534587
GaussianNB;{};['Sterilized', 'PhotoAmt', 'Age_2'];0.63;0.7676659528907923;0.6404617424653001;0.6404065036854382;0.5959902018211831
GaussianNB;{};['Breed1', 'Sterilized', 'State'];0.6293333333333333;0.7507537688442211;0.6240273038655703;0.6235088030572232;0.5753767506256989
GaussianNB;{};['Color1', 'Color2', 'Sterilized', 'Age_0', 'Age_2'];0.628;0.7733773377337734;0.6345142975232925;0.6346997254288784;0.6017146812929336
GaussianNB;{};['Color1', 'Sterilized', 'Age_2'];0.628;0.7715846994535519;0.6385533331565416;0.6375167641640879;0.599765695723947
GaussianNB;{};['Color1', 'Color2', 'State', 'Age_2'];0.6273333333333333;0.7520325203252033;0.6180983019145954;0.6155787320400631;0.5765535971031471
GaussianNB;{};['Sterilized', 'State', 'PhotoAmt'];0.6273333333333333;0.7455445544554455;0.6328283180670166;0.6310673777263137;0.5681079929708717
GaussianNB;{};['Sterilized', 'Age_0', 'Age_2'];0.6266666666666667;0.7704918032786885;0.6350701258474529;0.6355891359153144;0.5981681665690398
GaussianNB;{};['Color1', 'Sterilized', 'Age_0', 'Age_2'];0.6266666666666667;0.7704918032786885;0.6355888776663273;0.6357375037455875;0.5981681665690398
GaussianNB;{};['Breed1', 'Sterilized', 'State', 'Age_0', 'Age_2'];0.6266666666666667;0.8105395232120451;0.6208033711968197;0.6211379664269033;0.6364982160924436
GaussianNB;{};['Sterilized', 'Age_2'];0.626;0.7738359201773836;0.633661936112415;0.6336624964192048;0.6015922040577241
GaussianNB;{};['Sterilized', 'State', 'Age_2'];0.626;0.7738359201773836;0.633661936112415;0.6336624964192048;0.6015922040577241
GaussianNB;{};['Color2', 'Sterilized', 'State', 'Age_2'];0.626;0.7738359201773836;0.633661936112415;0.6336624964192048;0.6015922040577241
GaussianNB;{};['Color2', 'Sterilized', 'Age_2'];0.626;0.7738359201773836;0.633661936112415;0.6336624964192048;0.6015922040577241
GaussianNB;{};['Color2', 'Sterilized', 'Age_0', 'Age_2'];0.626;0.7702407002188184;0.6355888725170512;0.6349221947782324;0.5976942329197508
GaussianNB;{};['Breed1', 'Color1', 'Sterilized', 'PhotoAmt', 'Age_2'];0.6253333333333333;0.7945041816009558;0.635404334471924;0.6309902824838896;0.621907449810959
GaussianNB;{};['Color2', 'State', 'Age_2'];0.624;0.7404505386875612;0.6245646617358913;0.6223964013797494;0.5605410298737952
GaussianNB;{};['Color1', 'Color2', 'Sterilized', 'PhotoAmt'];0.6206666666666667;0.7563291139240507;0.616134572214866;0.6136504995535507;0.5802598647425316
GaussianNB;{};['Color1', 'State'];0.62;0.7125328659070991;0.6313272748665629;0.6324024684759558;0.5167687310293413
GaussianNB;{};['Breed1', 'Color2', 'Sterilized', 'Age_0', 'Age_2'];0.6186666666666667;0.8108108108108109;0.6181724223130841;0.6172832867017435;0.6334096597262899
GaussianNB;{};['Breed1', 'Color1', 'PhotoAmt', 'Age_0', 'Age_2'];0.6173333333333333;0.8079385403329066;0.6173014960449696;0.6168387874486638;0.6305128068587251
GaussianNB;{};['Breed1', 'Color1', 'Sterilized', 'PhotoAmt', 'Age_0'];0.6153333333333333;0.8111979166666666;0.6132994339314819;0.6127635060180705;0.6323393151925023
GaussianNB;{};['Breed1', 'Color1', 'Sterilized', 'Age_0', 'Age_2'];0.6146666666666667;0.8109517601043025;0.6121507763005936;0.6118738758088202;0.6318653815432131
GaussianNB;{};['Color2', 'Sterilized', 'State', 'Age_0', 'Age_2'];0.6133333333333333;0.7790834312573442;0.6207663032736609;0.6202481164948388;0.6029820544224933
GaussianNB;{};['Breed1', 'Sterilized', 'State', 'PhotoAmt', 'Age_0'];0.6133333333333333;0.812089356110381;0.607796582648501;0.6069078106242023;0.6322168379572928
GaussianNB;{};['Breed1', 'Color1', 'State', 'Age_2'];0.6126666666666667;0.7532051282051282;0.6103164547782409;0.6105393892969173;0.5745726609510624
GaussianNB;{};['Breed1', 'PhotoAmt', 'Age_0', 'Age_2'];0.612;0.803594351732991;0.613373564628523;0.6126140670390785;0.6247723520954258
GaussianNB;{};['Breed1', 'Color1', 'Age_0', 'Age_2'];0.612;0.8083441981747066;0.6133179593109341;0.6128365089230807;0.6286703232333989
GaussianNB;{};['Breed1', 'State', 'PhotoAmt', 'Age_0', 'Age_2'];0.612;0.8043758043758044;0.6137070369064934;0.6132065496075064;0.6254220139517546
GaussianNB;{};['Breed1', 'Color1', 'Color2', 'Sterilized', 'Age_0'];0.612;0.8174496644295302;0.6124286209474445;0.6117260023548793;0.6358166036530166
GaussianNB;{};['Breed1', 'Color1', 'Color2', 'Sterilized'];0.6113333333333333;0.7763466042154566;0.5994221482214014;0.5978645688997187;0.5996112679056393
GaussianNB;{};['Color1', 'Color2', 'Sterilized', 'State', 'PhotoAmt'];0.6106666666666667;0.7518716577540107;0.6098165956538564;0.6095002926433232;0.5725011981468662
GaussianNB;{};['Breed1', 'Sterilized', 'PhotoAmt', 'Age_0', 'Age_2'];0.61;0.8083989501312336;0.6122063146775913;0.6129105280461067;0.6278981841418606
GaussianNB;{};['Color1', 'Sterilized', 'State', 'Age_0', 'Age_2'];0.61;0.7790973871733967;0.6213036559947058;0.6209894887352234;0.6019117098887055
GaussianNB;{};['Breed1', 'Color1', 'Color2', 'Age_0', 'Age_2'];0.6093333333333333;0.809775429326288;0.6151892938308324;0.6147635878648188;0.6287235742052292
GaussianNB;{};['Breed1', 'Color2', 'PhotoAmt', 'Age_0', 'Age_2'];0.6093333333333333;0.8041504539559015;0.6157265967755403;0.6154301719523279;0.624175941210927
GaussianNB;{};['Breed1', 'Color2', 'Sterilized', 'PhotoAmt', 'Age_0'];0.6093333333333333;0.8105960264900662;0.6097605749613183;0.609724107794914;0.6293732360615582
GaussianNB;{};['Breed1', 'Color1', 'PhotoAmt', 'Age_0'];0.6093333333333333;0.8033635187580854;0.6120580378356802;0.6116508571524308;0.6235262793545981
GaussianNB;{};['Breed1', 'Sterilized', 'PhotoAmt', 'Age_0'];0.6086666666666667;0.8095238095238095;0.6094085515575145;0.6088348895659402;0.6282496405559401
GaussianNB;{};['Breed1', 'Color1', 'State', 'PhotoAmt', 'Age_0'];0.6086666666666667;0.8023255813953488;0.6138182063474613;0.6130590332031385;0.6224026838489802
GaussianNB;{};['Breed1', 'Color1', 'Color2', 'PhotoAmt', 'Age_0'];0.608;0.8028534370946823;0.6123915684721146;0.6123919272739456;0.62257841205602
GaussianNB;{};['Breed1', 'State', 'PhotoAmt', 'Age_0'];0.6073333333333333;0.8018134715025906;0.6080374451934639;0.6088344775856637;0.621454816550402
GaussianNB;{};['Breed1', 'Color1', 'Sterilized', 'State', 'Age_0'];0.6073333333333333;0.8123324396782842;0.6118728235189416;0.6117259199588239;0.6299004206826774
GaussianNB;{};['Breed1', 'Color2', 'PhotoAmt', 'Age_0'];0.6066666666666667;0.8015564202334631;0.60707398471506;0.6071300053200386;0.620980882901113
GaussianNB;{};['Breed1', 'Color1', 'Sterilized', 'Age_0'];0.6066666666666667;0.8112449799196787;0.609000940000376;0.6092059464683814;0.6287768251770596
GaussianNB;{};['Breed1', 'Color1', 'State', 'Age_0', 'Age_2'];0.606;0.8028720626631853;0.6150596384881966;0.6151340130641693;0.6218062729644815
GaussianNB;{};['Breed1', 'Age_0', 'Age_2'];0.6053333333333333;0.8090787716955942;0.6092788824834754;0.609205287299939;0.6265296341658235
GaussianNB;{};['Breed1', 'PhotoAmt', 'Age_0'];0.6053333333333333;0.8010403120936281;0.6069813269221411;0.6070560411277163;0.6200330156025348
GaussianNB;{};['Breed1', 'Color2', 'Age_0', 'Age_2'];0.6053333333333333;0.8115746971736204;0.6080004356287692;0.6075746968305809;0.6284786197348102
GaussianNB;{};['Breed1', 'Color1', 'Age_0'];0.6053333333333333;0.8115746971736204;0.6044429860549875;0.6038695384804684;0.6284786197348102
