Classifier;best_HP;Features;Accuracy;Precision;Mean_CV_Train_Accuracy;Mean_CV_Test_Accuracy;AUC
DecisionTreeClassifier;{'decisiontreeclassifier__criterion': 'gini'};['Breed1', 'Sterilized', 'Age_0', 'Age_2'];0.356;0.356;0.37104440452611087;0.3248361348449897;0
DecisionTreeClassifier;{'decisiontreeclassifier__criterion': 'entropy'};['Breed1', 'State', 'PhotoAmt', 'Age_0', 'Age_2'];0.34;0.34;0.4953679385293135;0.32112972682137164;0
DecisionTreeClassifier;{'decisiontreeclassifier__criterion': 'entropy'};['Breed1', 'Color1', 'Sterilized', 'Age_0'];0.34;0.34;0.40323699037505867;0.33550860750391864;0
DecisionTreeClassifier;{'decisiontreeclassifier__criterion': 'entropy'};['Breed1', 'PhotoAmt', 'Age_0'];0.33866666666666667;0.33866666666666667;0.42171874000986764;0.332580938331771;0
DecisionTreeClassifier;{'decisiontreeclassifier__criterion': 'gini'};['Breed1', 'Sterilized', 'State', 'Age_0', 'Age_2'];0.338;0.338;0.4091474987004514;0.32209369200519317;0
DecisionTreeClassifier;{'decisiontreeclassifier__criterion': 'entropy'};['Breed1', 'Color1', 'Sterilized', 'Age_0', 'Age_2'];0.3373333333333333;0.3373333333333333;0.4154933920625452;0.3267628430044788;0
DecisionTreeClassifier;{'decisiontreeclassifier__criterion': 'entropy'};['Breed1', 'Age_0'];0.3373333333333333;0.3373333333333333;0.35816752191853796;0.33639697430698734;0
DecisionTreeClassifier;{'decisiontreeclassifier__criterion': 'entropy'};['Breed1', 'State', 'Age_0', 'Age_2'];0.336;0.336;0.39611301562813916;0.3261694815447942;0
DecisionTreeClassifier;{'decisiontreeclassifier__criterion': 'gini'};['Breed1', 'Sterilized', 'State', 'Age_0'];0.336;0.336;0.3986512835472128;0.3288378640635372;0
DecisionTreeClassifier;{'decisiontreeclassifier__criterion': 'gini'};['Breed1', 'Sterilized', 'Age_0'];0.3353333333333333;0.3353333333333333;0.3646521719690051;0.3311363432246136;0
DecisionTreeClassifier;{'decisiontreeclassifier__criterion': 'entropy'};['Breed1', 'State', 'PhotoAmt', 'Age_0'];0.3353333333333333;0.3353333333333333;0.47305093758450706;0.3204996441863678;0
DecisionTreeClassifier;{'decisiontreeclassifier__criterion': 'gini'};['Breed1', 'Color1', 'Age_0'];0.3353333333333333;0.3353333333333333;0.38594093282400127;0.3356196911191609;0
DecisionTreeClassifier;{'decisiontreeclassifier__criterion': 'gini'};['Breed1', 'State', 'Age_0'];0.33466666666666667;0.33466666666666667;0.38848865138138344;0.3343227634758062;0
