Classifier;best_HP;Features;Accuracy;Precision;Mean_CV_Train_Accuracy;Mean_CV_Test_Accuracy;AUC
KNeighborsClassifier;{'kneighborsclassifier__n_neighbors': 5};['Age_0', 'Age_2'];0.33466666666666667;0.33466666666666667;0.23747521832144522;0.24071687131558028;0
KNeighborsClassifier;{'kneighborsclassifier__n_neighbors': 7};['Breed1', 'State', 'Age_0', 'Age_2'];0.332;0.332;0.2982902715096068;0.25573842291936;0
KNeighborsClassifier;{'kneighborsclassifier__n_neighbors': 7};['Breed1', 'State', 'PhotoAmt', 'Age_0'];0.3233333333333333;0.3233333333333333;0.37440436390861986;0.28846881854035755;0
KNeighborsClassifier;{'kneighborsclassifier__n_neighbors': 7};['Breed1', 'State', 'PhotoAmt', 'Age_0', 'Age_2'];0.322;0.322;0.3831122963600711;0.2855551200771447;0
KNeighborsClassifier;{'kneighborsclassifier__n_neighbors': 7};['Breed1', 'Age_0', 'Age_2'];0.32133333333333336;0.32133333333333336;0.2804851539357534;0.2658163210655678;0
KNeighborsClassifier;{'kneighborsclassifier__n_neighbors': 7};['Breed1', 'Sterilized', 'State', 'Age_0', 'Age_2'];0.32;0.32;0.3220746227962063;0.26890285898748245;0
KNeighborsClassifier;{'kneighborsclassifier__n_neighbors': 7};['Breed1', 'Color2', 'Sterilized', 'State', 'Age_0'];0.31133333333333335;0.31133333333333335;0.35503607311159807;0.27495680844555903;0
KNeighborsClassifier;{'kneighborsclassifier__n_neighbors': 7};['Breed1', 'Color2', 'State', 'PhotoAmt', 'Age_0'];0.302;0.302;0.4241397732127155;0.27503172477007615;0
KNeighborsClassifier;{'kneighborsclassifier__n_neighbors': 5};['Breed1', 'Color1', 'State', 'PhotoAmt', 'Age_0'];0.2986666666666667;0.2986666666666667;0.417006322939319;0.2844186862168703;0
KNeighborsClassifier;{'kneighborsclassifier__n_neighbors': 7};['Breed1', 'Sterilized', 'State', 'PhotoAmt', 'Age_2'];0.29733333333333334;0.29733333333333334;0.38240819233828316;0.27678557973818746;0
KNeighborsClassifier;{'kneighborsclassifier__n_neighbors': 7};['Breed1', 'Age_0'];0.29733333333333334;0.29733333333333334;0.2871924409540362;0.2696950421286453;0
KNeighborsClassifier;{'kneighborsclassifier__n_neighbors': 7};['Breed1', 'Color1', 'PhotoAmt', 'Age_0'];0.2966666666666667;0.2966666666666667;0.3794686461857637;0.28515960070139185;0
