Classifier;best_HP;Features;Accuracy;Precision;Mean_CV_Train_Accuracy;Mean_CV_Test_Accuracy;AUC
GaussianNB;{};['Color1', 'State', 'Age_0'];0.33666666666666667;0.33666666666666667;0.33348764684341214;0.33232207739131886;0
GaussianNB;{};['Breed1', 'Color1', 'State', 'Age_0', 'Age_2'];0.33466666666666667;0.33466666666666667;0.3304678486486969;0.3300984550464975;0
GaussianNB;{};['Breed1', 'Color1', 'Age_0', 'Age_2'];0.33266666666666667;0.33266666666666667;0.33124586480935714;0.33113560166011574;0
GaussianNB;{};['Breed1', 'Age_0', 'Age_2'];0.33266666666666667;0.33266666666666667;0.3257062082163053;0.32320418484071883;0
GaussianNB;{};['Breed1', 'State', 'Age_0', 'Age_2'];0.33;0.33;0.3302083474402047;0.3272075894457245;0
GaussianNB;{};['Breed1', 'Color1', 'Age_0'];0.33;0.33;0.3324317293938624;0.3308389483956252;0
GaussianNB;{};['Color1', 'Age_0', 'Age_2'];0.33;0.33;0.3105870303634797;0.31053139687955156;0
GaussianNB;{};['Breed1', 'Color2', 'Age_0', 'Age_2'];0.32866666666666666;0.32866666666666666;0.327966433241393;0.32424300684079516;0
GaussianNB;{};['Breed1', 'State', 'Age_0'];0.328;0.328;0.33183879195233346;0.3301722269813574;0
GaussianNB;{};['Breed1', 'Color1', 'State', 'Age_0'];0.328;0.328;0.3342845591314132;0.33306254327509494;0
GaussianNB;{};['Sterilized', 'Age_0'];0.32666666666666666;0.32666666666666666;0.23467643450039105;0.23279099334212408;0
GaussianNB;{};['Color1', 'Age_0'];0.3253333333333333;0.3253333333333333;0.3276519120163768;0.3253522500028152;0
GaussianNB;{};['Breed1', 'Color2', 'State', 'Age_0', 'Age_2'];0.3253333333333333;0.3253333333333333;0.32353810545940853;0.3212787263547353;0
GaussianNB;{};['Age_0', 'Age_2'];0.3253333333333333;0.3253333333333333;0.31638626712059253;0.3163861584514595;0
GaussianNB;{};['State', 'Age_0'];0.3253333333333333;0.3253333333333333;0.31638626712059253;0.3163861584514595;0
GaussianNB;{};['Color2', 'Age_0'];0.3253333333333333;0.3253333333333333;0.29997052382643064;0.2996364960692962;0
GaussianNB;{};['Breed1', 'Age_0'];0.32466666666666666;0.32466666666666666;0.330004516773467;0.3294307448795658;0
GaussianNB;{};['Breed1', 'Color1', 'Color2', 'State', 'Age_0'];0.3233333333333333;0.3233333333333333;0.3233160017277538;0.3206109337917483;0
GaussianNB;{};['Breed1', 'Color1', 'Color2', 'Age_0'];0.32266666666666666;0.32266666666666666;0.32622496690088154;0.3243162294686196;0
GaussianNB;{};['Breed1', 'Color2', 'Age_0'];0.322;0.322;0.32613220440601254;0.3244646522295961;0
GaussianNB;{};['Breed1', 'Color1', 'Color2', 'Age_0', 'Age_2'];0.322;0.322;0.32083329535742117;0.3184610009857315;0
GaussianNB;{};['Breed1', 'Color2', 'State', 'Age_0'];0.32066666666666666;0.32066666666666666;0.327262405314465;0.3246879180741515;0
GaussianNB;{};['Breed1', 'Sterilized', 'Age_0'];0.32;0.32;0.30886384567001224;0.30704835082922016;0
GaussianNB;{};['Color1', 'Color2', 'Age_0'];0.31866666666666665;0.31866666666666665;0.31781320022110987;0.31675622660123687;0
GaussianNB;{};['Color1', 'Color2', 'State', 'Age_0'];0.31866666666666665;0.31866666666666665;0.31818394467686273;0.31660816088983346;0
GaussianNB;{};['Breed1', 'Color1', 'Sterilized', 'State', 'Age_0'];0.318;0.318;0.3145705344854324;0.3110515906421152;0
GaussianNB;{};['Color2', 'State', 'Age_0'];0.318;0.318;0.314737935739264;0.31052903485929917;0
GaussianNB;{};['Breed1', 'Sterilized', 'State', 'Age_0'];0.31666666666666665;0.31666666666666665;0.301822866099165;0.29882302728050997;0
GaussianNB;{};['Breed1', 'State', 'Age_2'];0.316;0.316;0.3039724572080127;0.3005268129123408;0
GaussianNB;{};['Breed1', 'Color1', 'Sterilized', 'Age_0'];0.31533333333333335;0.31533333333333335;0.3169053244631901;0.3124588054055108;0
GaussianNB;{};['Color1', 'Color2', 'Age_0', 'Age_2'];0.314;0.314;0.3063999101279655;0.30526796433129694;0
