Classifier;best_HP;Features;Accuracy;Precision;Mean_CV_Train_Accuracy;Mean_CV_Test_Accuracy;AUC
SVC;{'svc__C': 1, 'svc__gamma': 0.001, 'svc__kernel': 'rbf'};['Color1', 'State', 'Age_0'];0.336;0.336;0.3285131393366399;0.32602093976729335;0
SVC;{'svc__C': 1, 'svc__gamma': 0.0001, 'svc__kernel': 'rbf'};['Color1', 'Color2', 'Age_0'];0.332;0.332;0.3322899025925719;0.33063975593189804;0
SVC;{'svc__C': 10, 'svc__gamma': 0.001, 'svc__kernel': 'rbf'};['Color2', 'State', 'Age_0'];0.3253333333333333;0.3253333333333333;0.3149657520207548;0.31305152142942877;0
SVC;{'svc__C': 10, 'svc__gamma': 0.0001, 'svc__kernel': 'rbf'};['Breed1', 'Color2', 'Age_0'];0.324;0.324;0.3128630487909085;0.3115193805134977;0
SVC;{'svc__C': 1, 'svc__gamma': 0.001, 'svc__kernel': 'rbf'};['Breed1', 'State', 'Age_0'];0.324;0.324;0.31967226115504155;0.3175096835964011;0
SVC;{'svc__C': 1, 'svc__gamma': 0.001, 'svc__kernel': 'rbf'};['Breed1', 'Color1', 'State', 'Age_0'];0.324;0.324;0.325162483265925;0.3241317401232078;0
SVC;{'svc__C': 100, 'svc__gamma': 0.0001, 'svc__kernel': 'rbf'};['Color2', 'PhotoAmt', 'Age_0'];0.3233333333333333;0.3233333333333333;0.30366070686575025;0.30161239467380907;0
SVC;{'svc__C': 10, 'svc__gamma': 0.0001, 'svc__kernel': 'rbf'};['Breed1', 'Color1', 'Age_0'];0.3233333333333333;0.3233333333333333;0.3249371526544991;0.32476107203859655;0
SVC;{'svc__C': 10, 'svc__gamma': 0.001, 'svc__kernel': 'rbf'};['State', 'PhotoAmt', 'Age_0'];0.3233333333333333;0.3233333333333333;0.29909116189956686;0.29614981543741364;0
SVC;{'svc__C': 100, 'svc__gamma': 0.001, 'svc__kernel': 'rbf'};['Color1', 'PhotoAmt', 'Age_0'];0.32266666666666666;0.32266666666666666;0.30128623313250874;0.2974616064136357;0
SVC;{'svc__C': 10, 'svc__gamma': 0.0001, 'svc__kernel': 'rbf'};['Color1', 'Color2', 'State', 'Age_0'];0.322;0.322;0.32113594578430044;0.3186213528644943;0
SVC;{'svc__C': 10, 'svc__gamma': 0.0001, 'svc__kernel': 'rbf'};['Breed1', 'Color2', 'State', 'Age_0'];0.32066666666666666;0.32066666666666666;0.3121343481069215;0.31080264927121143;0
SVC;{'svc__C': 100, 'svc__gamma': 0.0001, 'svc__kernel': 'rbf'};['Breed1', 'Color2', 'State', 'PhotoAmt', 'Age_0'];0.32066666666666666;0.32066666666666666;0.26160189349185553;0.2588993232811977;0
SVC;{'svc__C': 1, 'svc__gamma': 0.001, 'svc__kernel': 'rbf'};['Breed1', 'Color1', 'Color2', 'Age_0'];0.32;0.32;0.3216174262836051;0.32021586301674115;0
SVC;{'svc__C': 10, 'svc__gamma': 0.0001, 'svc__kernel': 'rbf'};['Breed1', 'Color1', 'Color2', 'State', 'Age_0'];0.32;0.32;0.3171523970352871;0.31599037815486486;0
SVC;{'svc__C': 100, 'svc__gamma': 0.0001, 'svc__kernel': 'rbf'};['Color2', 'State', 'PhotoAmt', 'Age_0'];0.31733333333333336;0.31733333333333336;0.2946195329955465;0.293161333398884;0
SVC;{'svc__C': 1, 'svc__gamma': 0.001, 'svc__kernel': 'rbf'};['Color1', 'Color2', 'PhotoAmt', 'Age_0'];0.31533333333333335;0.31533333333333335;0.30739419960923287;0.30420623165028404;0
SVC;{'svc__C': 10, 'svc__gamma': 0.0001, 'svc__kernel': 'rbf'};['Breed1', 'Color1', 'PhotoAmt', 'Age_0'];0.31266666666666665;0.31266666666666665;0.3043281600557541;0.30237713077343437;0
SVC;{'svc__C': 1, 'svc__gamma': 0.001, 'svc__kernel': 'rbf'};['Color1', 'Color2', 'State', 'PhotoAmt', 'Age_0'];0.31066666666666665;0.31066666666666665;0.26523358447211726;0.26227048922108537;0
SVC;{'svc__C': 100, 'svc__gamma': 0.0001, 'svc__kernel': 'rbf'};['Breed1', 'Color1', 'Color2', 'PhotoAmt', 'Age_0'];0.31;0.31;0.27502858062861163;0.2728449288844224;0
SVC;{'svc__C': 1, 'svc__gamma': 0.001, 'svc__kernel': 'rbf'};['Breed1', 'State', 'PhotoAmt', 'Age_0'];0.30933333333333335;0.30933333333333335;0.2985689028514375;0.2965101883180154;0
SVC;{'svc__C': 10, 'svc__gamma': 0.0001, 'svc__kernel': 'rbf'};['Breed1', 'Color1', 'State', 'PhotoAmt', 'Age_0'];0.30733333333333335;0.30733333333333335;0.28392837797312415;0.2816886256731644;0
SVC;{'svc__C': 1, 'svc__gamma': 0.0001, 'svc__kernel': 'rbf'};['Breed1', 'Color2', 'State'];0.306;0.306;0.23796933829139977;0.2328603525104659;0
SVC;{'svc__C': 1, 'svc__gamma': 0.0001, 'svc__kernel': 'rbf'};['Breed1', 'State', 'PhotoAmt'];0.2986666666666667;0.2986666666666667;0.28203511897931965;0.2830609090866644;0
SVC;{'svc__C': 10, 'svc__gamma': 0.0001, 'svc__kernel': 'rbf'};['Breed1', 'PhotoAmt', 'Age_0'];0.2986666666666667;0.2986666666666667;0.30300632425524515;0.30021612027553607;0
SVC;{'svc__C': 1, 'svc__gamma': 0.0001, 'svc__kernel': 'rbf'};['Breed1', 'Color1', 'Color2'];0.298;0.298;0.2568247325687631;0.2543280542180692;0
SVC;{'svc__C': 10, 'svc__gamma': 0.0001, 'svc__kernel': 'rbf'};['Breed1', 'Color2', 'PhotoAmt', 'Age_0'];0.29733333333333334;0.29733333333333334;0.29214271110366186;0.2895683160800571;0
SVC;{'svc__C': 1, 'svc__gamma': 0.0001, 'svc__kernel': 'rbf'};['Color2', 'State', 'PhotoAmt'];0.294;0.294;0.22116394354344984;0.2189904414167251;0
SVC;{'svc__C': 1, 'svc__gamma': 0.0001, 'svc__kernel': 'rbf'};['Color1', 'Color2', 'PhotoAmt'];0.29333333333333333;0.29333333333333333;0.22975832444153452;0.22730185511056497;0
